Year,Month,Revenue,Expenses,Gross_Profit,Net_Profit,Quick_Ratio,Current_Ratio
2000,Jan,4285412,3576217,709195,425517,2.23,2.43
2000,Feb,4510985,3744023,766962,460177,2.06,2.26
2000,Mar,4617357,3381392,1235965,741579,1.66,1.86
2000,Apr,4508874,3613280,895594,537356,2.36,2.56
2000,May,4097363,3775973,321390,192834,2.46,2.66
2000,Jun,4197113,3572507,624606,374763,1.77,1.97
2000,Jul,3869953,3531258,338695,203217,2.42,2.62
2000,Aug,3623372,2904141,719231,431538,1.84,2.04
2000,Sep,3928920,2863062,1065858,639514,2.22,2.42
2000,Oct,3423877,3087568,336309,201785,2.35,2.55
2000,Nov,3389817,3151624,238193,142915,1.12,1.32
2000,Dec,3429342,3275932,153410,92046,1.81,2.01
2001,Jan,4595314,3371482,1223832,734299,2.33,2.53
2001,Feb,4848982,3941234,907748,544648,2.06,2.26
2001,Mar,4867148,3517790,1349358,809614,1.92,2.12
2001,Apr,4404516,4131246,273270,163962,1.53,1.73
2001,May,4218239,3571171,647068,388240,2.0,2.2
2001,Jun,4461362,3470165,991197,594718,2.48,2.68
2001,Jul,4366116,3477885,888231,532938,2.2,2.4
2001,Aug,3792627,3223817,568810,341286,1.61,1.81
2001,Sep,3697311,3433678,263633,158179,1.29,1.49
2001,Oct,4085206,3433625,651581,390948,1.27,1.47
2001,Nov,4095064,3488784,606280,363768,2.2,2.4
2001,Dec,4162599,3295906,866693,520015,1.1,1.3
2002,Jan,4634969,4037725,597244,358346,2.28,2.48
2002,Feb,5080674,4198948,881726,529035,1.15,1.35
2002,Mar,4364395,3790884,573511,344106,1.61,1.81
2002,Apr,4466081,4138082,327999,196799,1.41,1.61
2002,May,4894891,4320763,574128,344476,1.31,1.51
2002,Jun,4797066,4141408,655658,393394,1.78,1.98
2002,Jul,4369213,3406416,962797,577678,1.59,1.79
2002,Aug,3887559,3524597,362962,217777,1.51,1.71
2002,Sep,4129292,3667827,461465,276879,2.36,2.56
2002,Oct,4227356,3162211,1065145,639087,2.19,2.39
2002,Nov,4381403,3637072,744331,446598,1.66,1.86
2002,Dec,4295406,3650366,645040,387024,2.02,2.22
2003,Jan,4160388,3989640,170748,102448,2.0,2.2
2003,Feb,5165643,4229104,936539,561923,2.12,2.32
2003,Mar,5069440,4307461,761979,457187,2.25,2.45
2003,Apr,4562425,3772358,790067,474040,1.29,1.49
2003,May,5492264,4234370,1257894,754736,1.25,1.45
2003,Jun,5097717,3698743,1398974,839384,2.09,2.29
2003,Jul,4387721,3671546,716175,429705,1.66,1.86
2003,Aug,4556579,3984465,572114,343268,2.25,2.45
2003,Sep,4567241,3161859,1405382,843229,1.68,1.88
2003,Oct,3931886,3434303,497583,298549,1.1,1.3
2003,Nov,4541996,3480407,1061589,636953,2.03,2.23
2003,Dec,4015281,3799536,215745,129447,1.78,1.98
2004,Jan,4616698,3921250,695448,417268,1.68,1.88
2004,Feb,4729201,4106221,622980,373788,1.32,1.52
2004,Mar,5045899,3972641,1073258,643954,1.73,1.93
2004,Apr,5609741,4237965,1371776,823065,1.64,1.84
2004,May,4764654,4472823,291831,175098,1.11,1.31
2004,Jun,4758740,3891817,866923,520153,2.26,2.46
2004,Jul,5161300,4017774,1143526,686115,1.69,1.89
2004,Aug,4661582,3975346,686236,411741,1.66,1.86
2004,Sep,4312658,3370032,942626,565575,2.3,2.5
2004,Oct,4373765,3952123,421642,252985,1.91,2.11
2004,Nov,4206337,3699360,506977,304186,1.8,2.0
2004,Dec,4792714,3596686,1196028,717616,1.95,2.15
2005,Jan,4840877,3911727,929150,557490,1.3,1.5
2005,Feb,5346953,4268611,1078342,647005,1.85,2.05
2005,Mar,5973429,4726900,1246529,747917,1.89,2.09
2005,Apr,5976265,5009778,966487,579892,1.67,1.87
2005,May,5642698,4227593,1415105,849063,1.29,1.49
2005,Jun,5135893,4189554,946339,567803,1.12,1.32
2005,Jul,4995129,4305071,690058,414034,2.42,2.62
2005,Aug,4398812,4043158,355654,213392,2.4,2.6
2005,Sep,5000811,4028959,971852,583111,1.06,1.26
2005,Oct,4097625,3696512,401113,240667,1.69,1.89
2005,Nov,4115511,4060571,54940,32964,2.17,2.37
2005,Dec,4365043,4346546,18497,11098,1.8,2.0
2006,Jan,5218660,4091948,1126712,676027,1.44,1.64
2006,Feb,5425193,4083176,1342017,805210,1.55,1.75
2006,Mar,5650000,4775306,874694,524816,1.28,1.48
2006,Apr,5600866,4992819,608047,364828,2.02,2.22
2006,May,5295629,4768914,526715,316029,2.03,2.23
2006,Jun,5417931,4447364,970567,582340,2.05,2.25
2006,Jul,5605890,4675358,930532,558319,2.37,2.57
2006,Aug,5421601,3865597,1556004,933602,1.99,2.19
2006,Sep,4394201,4194726,199475,119685,1.87,2.07
2006,Oct,4290948,4172970,117978,70786,1.6,1.8
2006,Nov,4577549,4167508,410041,246024,1.57,1.77
2006,Dec,5102014,3714543,1387471,832482,2.5,2.7
2007,Jan,5651018,4290204,1360814,816488,2.25,2.45
2007,Feb,5621464,4755693,865771,519462,1.83,2.03
2007,Mar,6374008,4404372,1969636,1181781,1.21,1.41
2007,Apr,6426035,4694366,1731669,1039001,1.43,1.63
2007,May,5888413,5074739,813674,488204,2.32,2.52
2007,Jun,5844425,5093110,751315,450789,1.22,1.42
2007,Jul,5165808,4604273,561535,336921,2.49,2.69
2007,Aug,5617469,4095132,1522337,913402,2.11,2.31
2007,Sep,4528011,4272025,255986,153591,1.08,1.28
2007,Oct,4861236,4169347,691889,415133,2.25,2.45
2007,Nov,5387761,4272304,1115457,669274,1.52,1.72
2007,Dec,4996168,3872391,1123777,674266,2.3,2.5
2008,Jan,6010116,4687209,1322907,793744,1.16,1.36
2008,Feb,5772027,4622145,1149882,689929,1.72,1.92
2008,Mar,6652409,5155694,1496715,898029,1.11,1.31
2008,Apr,6496625,5341246,1155379,693227,2.16,2.36
2008,May,6212895,5286721,926174,555704,1.21,1.41
2008,Jun,6278948,4665757,1613191,967914,1.37,1.57
2008,Jul,5095339,4214598,880741,528444,1.08,1.28
2008,Aug,5561987,4061615,1500372,900223,1.88,2.08
2008,Sep,4818970,4452209,366761,220056,2.46,2.66
2008,Oct,4617952,4397333,220619,132371,1.77,1.97
2008,Nov,5605302,4237780,1367522,820513,1.22,1.42
2008,Dec,5226362,4251578,974784,584870,1.94,2.14
2009,Jan,5634784,4758374,876410,525846,1.8,2.0
2009,Feb,5505181,5410372,94809,56885,2.11,2.31
2009,Mar,5894371,5770100,124271,74562,1.98,2.18
2009,Apr,6875219,5835273,1039946,623967,1.59,1.79
2009,May,5856802,5312842,543960,326376,1.02,1.22
2009,Jun,5801602,5073564,728038,436822,2.07,2.27
2009,Jul,5693382,4984093,709289,425573,2.42,2.62
2009,Aug,5928546,4195692,1732854,1039712,1.67,1.87
2009,Sep,5377201,4630467,746734,448040,1.34,1.54
2009,Oct,5211817,4587886,623931,374358,2.45,2.65
2009,Nov,5259575,4080340,1179235,707541,1.07,1.27
2009,Dec,5133120,4238928,894192,536515,1.65,1.85
2010,Jan,6415428,4757225,1658203,994921,2.29,2.49
2010,Feb,6720392,5580073,1140319,684191,1.74,1.94
2010,Mar,6910797,5263687,1647110,988266,2.08,2.28
2010,Apr,6368018,5317605,1050413,630247,1.58,1.78
2010,May,6360685,5610208,750477,450286,1.51,1.71
2010,Jun,6428833,5345452,1083381,650028,1.24,1.44
2010,Jul,5465349,4895954,569395,341637,1.33,1.53
2010,Aug,5224585,4716025,508560,305136,1.66,1.86
2010,Sep,5922705,4437146,1485559,891335,2.4,2.6
2010,Oct,5609049,4101531,1507518,904510,2.36,2.56
2010,Nov,5688111,4121439,1566672,940003,2.14,2.34
2010,Dec,6006821,5036730,970091,582054,1.51,1.71
2011,Jan,6496545,4824366,1672179,1003307,1.81,2.01
2011,Feb,6271386,5786920,484466,290679,1.23,1.43
2011,Mar,6522552,5076908,1445644,867386,1.26,1.46
2011,Apr,6887176,5699257,1187919,712751,1.83,2.03
2011,May,6123493,6159262,-35769,-21461,1.52,1.72
2011,Jun,6678719,5092729,1585990,951594,2.38,2.58
2011,Jul,6621175,4792916,1828259,1096955,1.91,2.11
2011,Aug,6304593,5164266,1140327,684196,1.46,1.66
2011,Sep,6133329,4935752,1197577,718546,2.47,2.67
2011,Oct,5352803,4315374,1037429,622457,1.34,1.54
2011,Nov,5862407,4795640,1066767,640060,1.24,1.44
2011,Dec,5819533,4776262,1043271,625962,2.2,2.4
2012,Jan,6900413,4926196,1974217,1184530,1.14,1.34
2012,Feb,6726428,5197491,1528937,917362,2.33,2.53
2012,Mar,7568376,5190340,2378036,1426821,1.93,2.13
2012,Apr,7476802,5279975,2196827,1318096,2.1,2.3
2012,May,6986143,6019671,966472,579883,1.55,1.75
2012,Jun,6094097,6028435,65662,39397,1.3,1.5
2012,Jul,5922534,5213687,708847,425308,1.12,1.32
2012,Aug,5626821,4707351,919470,551682,1.81,2.01
2012,Sep,5513103,5338592,174511,104706,1.4,1.6
2012,Oct,5573962,4373821,1200141,720084,1.88,2.08
2012,Nov,6345822,5127840,1217982,730789,2.32,2.52
2012,Dec,5788537,4857407,931130,558678,2.11,2.31
2013,Jan,7137980,6039533,1098447,659068,1.39,1.59
2013,Feb,6396992,5205497,1191495,714897,1.64,1.84
2013,Mar,7338020,6037852,1300168,780100,1.67,1.87
2013,Apr,7486457,5705752,1780705,1068423,1.34,1.54
2013,May,7189292,5718282,1471010,882606,2.38,2.58
2013,Jun,6726346,5505641,1220705,732423,1.38,1.58
2013,Jul,5970216,4978656,991560,594936,1.26,1.46
2013,Aug,6401054,5225098,1175956,705573,2.3,2.5
2013,Sep,5617193,5365950,251243,150745,2.37,2.57
2013,Oct,5443666,4931246,512420,307452,1.58,1.78
2013,Nov,6274025,4630582,1643443,986065,1.46,1.66
2013,Dec,6581492,5693193,888299,532979,1.57,1.77
2014,Jan,6980194,6184313,795881,477528,1.18,1.38
2014,Feb,6446198,5749386,696812,418087,1.44,1.64
2014,Mar,7664108,6594122,1069986,641991,1.46,1.66
2014,Apr,6927631,6005558,922073,553243,2.05,2.25
2014,May,7024987,5655415,1369572,821743,2.17,2.37
2014,Jun,7236939,6200662,1036277,621766,1.64,1.84
2014,Jul,6376255,5842469,533786,320271,2.43,2.63
2014,Aug,7036384,5739335,1297049,778229,1.0,1.2
2014,Sep,5629569,4883729,745840,447504,1.94,2.14
2014,Oct,5597603,5485508,112095,67257,1.94,2.14
2014,Nov,6632012,5528831,1103181,661908,2.49,2.69
2014,Dec,6077242,5574809,502433,301459,1.95,2.15
2015,Jan,7633321,5231262,2402059,1441235,1.25,1.45
2015,Feb,7185735,6547851,637884,382730,2.34,2.54
2015,Mar,7522134,6935037,587097,352258,1.25,1.45
2015,Apr,8256021,6674398,1581623,948973,1.89,2.09
2015,May,8112880,6119908,1992972,1195783,1.25,1.45
2015,Jun,6683537,5943185,740352,444211,2.02,2.22
2015,Jul,6363718,6388550,-24832,-14899,2.34,2.54
2015,Aug,7185161,5873354,1311807,787084,1.45,1.65
2015,Sep,6499872,5334976,1164896,698937,1.86,2.06
2015,Oct,5887294,5411809,475485,285291,2.04,2.24
2015,Nov,6332393,5388412,943981,566388,2.26,2.46
2015,Dec,6755720,5666093,1089627,653776,1.5,1.7
2016,Jan,6613007,6314340,298667,179200,1.58,1.78
2016,Feb,7344185,6939711,404474,242684,1.2,1.4
2016,Mar,7227909,6778440,449469,269681,2.48,2.68
2016,Apr,8027236,6754869,1272367,763420,2.43,2.63
2016,May,7072108,6972671,99437,59662,1.76,1.96
2016,Jun,6874526,6858499,16027,9616,2.31,2.51
2016,Jul,7718479,5519093,2199386,1319631,2.0,2.2
2016,Aug,6673589,6034510,639079,383447,1.29,1.49
2016,Sep,7008464,5834019,1174445,704667,2.42,2.62
2016,Oct,6534703,5404082,1130621,678372,1.64,1.84
2016,Nov,6987693,5035087,1952606,1171563,2.27,2.47
2016,Dec,7165025,5905759,1259266,755559,1.44,1.64
2017,Jan,7151494,6259068,892426,535455,1.22,1.42
2017,Feb,7197740,6436761,760979,456587,2.01,2.21
2017,Mar,7532055,6106770,1425285,855171,2.28,2.48
2017,Apr,7974203,6815610,1158593,695155,1.45,1.65
2017,May,8553057,7329012,1224045,734427,2.47,2.67
2017,Jun,7489699,6181535,1308164,784898,1.53,1.73
2017,Jul,7096228,6190455,905773,543463,1.95,2.15
2017,Aug,6354679,5454210,900469,540281,2.39,2.59
2017,Sep,6978206,6005344,972862,583717,1.75,1.95
2017,Oct,6632174,5204033,1428141,856884,1.94,2.14
2017,Nov,6818912,5314265,1504647,902788,1.01,1.21
2017,Dec,6622576,5234349,1388227,832936,2.35,2.55
2018,Jan,7035744,5975061,1060683,636409,2.24,2.44
2018,Feb,7801153,6738212,1062941,637764,1.75,1.95
2018,Mar,8437258,7237427,1199831,719898,2.07,2.27
2018,Apr,8371677,6948175,1423502,854101,2.37,2.57
2018,May,7556556,7076597,479959,287975,1.01,1.21
2018,Jun,7630864,7236754,394110,236466,2.31,2.51
2018,Jul,7855355,6380224,1475131,885078,1.05,1.25
2018,Aug,6766987,6080839,686148,411688,1.45,1.65
2018,Sep,7521457,6260194,1261263,756757,1.64,1.84
2018,Oct,6266647,6064300,202347,121408,1.08,1.28
2018,Nov,6993877,6218804,775073,465043,1.69,1.89
2018,Dec,7491019,6291943,1199076,719445,1.75,1.95
2019,Jan,7172523,6396494,776029,465617,1.61,1.81
2019,Feb,8781436,7324486,1456950,874170,1.65,1.85
2019,Mar,7757178,7026815,730363,438217,1.46,1.66
2019,Apr,9008025,6551112,2456913,1474147,1.16,1.36
2019,May,7959338,7393554,565784,339470,2.2,2.4
2019,Jun,8437605,6881491,1556114,933668,2.24,2.44
2019,Jul,8226691,6653776,1572915,943749,2.02,2.22
2019,Aug,7269251,6530909,738342,443005,1.92,2.12
2019,Sep,7476205,5785530,1690675,1014405,1.32,1.52
2019,Oct,7684667,5875319,1809348,1085608,2.34,2.54
2019,Nov,7763832,5614810,2149022,1289413,2.0,2.2
2019,Dec,7618078,6517359,1100719,660431,2.18,2.38
2020,Jan,8667870,7293102,1374768,824860,2.13,2.33
2020,Feb,8137514,6349105,1788409,1073045,2.07,2.27
2020,Mar,9135565,7670979,1464586,878751,1.72,1.92
2020,Apr,8415124,8019371,395753,237451,1.3,1.5
2020,May,8870579,7443595,1426984,856190,1.98,2.18
2020,Jun,8837557,7228330,1609227,965536,2.17,2.37
2020,Jul,8048684,6767191,1281493,768895,1.01,1.21
2020,Aug,7144488,6758904,385584,231350,1.24,1.44
2020,Sep,6986579,5652558,1334021,800412,1.85,2.05
2020,Oct,7410811,5836344,1574467,944680,1.93,2.13
2020,Nov,7687069,5993510,1693559,1016135,1.87,2.07
2020,Dec,8185986,6214925,1971061,1182636,2.33,2.53
2021,Jan,8190367,7434391,755976,453585,1.21,1.41
2021,Feb,8233730,6805578,1428152,856891,1.29,1.49
2021,Mar,9057141,7594131,1463010,877806,1.69,1.89
2021,Apr,8821914,8012349,809565,485739,1.07,1.27
2021,May,9156751,8017412,1139339,683603,1.81,2.01
2021,Jun,8234918,7254384,980534,588320,1.82,2.02
2021,Jul,8191887,6872882,1319005,791403,1.64,1.84
2021,Aug,7891979,6516429,1375550,825330,2.29,2.49
2021,Sep,7830470,5817232,2013238,1207942,2.45,2.65
2021,Oct,6949429,6145014,804415,482649,1.1,1.3
2021,Nov,7145844,6475309,670535,402321,2.1,2.3
2021,Dec,7298343,7005033,293310,175986,2.39,2.59
2022,Jan,8278349,7090773,1187576,712545,1.85,2.05
2022,Feb,8332721,7956076,376645,225987,2.31,2.51
2022,Mar,9991531,6802652,3188879,1913327,2.41,2.61
2022,Apr,8943580,8265352,678228,406936,2.44,2.64
2022,May,9535054,7828152,1706902,1024141,2.0,2.2
2022,Jun,9088609,7866324,1222285,733371,1.0,1.2
2022,Jul,7657577,7580744,76833,46099,2.07,2.27
2022,Aug,7614798,6032390,1582408,949444,1.08,1.28
2022,Sep,6931255,6063882,867373,520423,1.54,1.74
2022,Oct,7120868,6189306,931562,558937,1.81,2.01
2022,Nov,8162838,6711672,1451166,870699,2.14,2.34
2022,Dec,7497686,6800660,697026,418215,2.5,2.7
2023,Jan,8657955,7668492,989463,593677,1.77,1.97
2023,Feb,9930175,7966123,1964052,1178431,1.22,1.42
2023,Mar,8583058,8229147,353911,212346,1.68,1.88
2023,Apr,10307340,7443725,2863615,1718169,1.7,1.9
2023,May,8720179,7848847,871332,522799,1.68,1.88
2023,Jun,9566663,6723326,2843337,1706002,2.24,2.44
2023,Jul,8604763,6963207,1641556,984933,1.38,1.58
2023,Aug,8500891,7403718,1097173,658303,1.25,1.45
2023,Sep,8250040,6632598,1617442,970465,1.29,1.49
2023,Oct,7964100,6260100,1704000,1022400,1.24,1.44
2023,Nov,7210766,6180623,1030143,618085,1.02,1.22
2023,Dec,8948945,6639409,2309536,1385721,1.08,1.28
2024,Jan,82978,663,82315,49389,1.71,1.91
2024,Feb,8647,454574,-445927,-267556,2.28,2.48
2024,Mar,10272,71351,-61079,-36647,1.21,1.41
2024,Apr,9247,8081,1166,699,2.46,2.66
2024,May,1011001,829,1010172,606103,1.64,1.84
2024,Jun,8882,7008,1874,1124,2.49,2.6900000000000004
2024,Jul,7992874,765,7992109,4795265,2.28,2.48
2024,Aug,8113005,6551985,1561020,936612,1.15,1.35
2024,Sep,8367334,6303377,2063957,1238374,1.05,1.25
2024,Oct,7928134,6786927,1141207,684724,1.28,1.48
2024,Nov,123,6125137,-6125014,-3675008,1.82,2.02
2024,Dec,77278719,645705,76633014,45979808,2.44,2.64
2025,Jan,8762649,7305568,1457081,874248,1.43,1.63
2025,Feb,9248888,8590083,658805,395283,2.41,2.61
2025,Mar,9312258,7887988,1424270,854562,2.41,2.61
2025,Apr,9085238,8783832,301406,180843,2.23,2.43
2025,May,10033188,7609841,2423347,1454008,2.34,2.54
2025,Jun,9492488,7163857,2328631,1397178,1.6,1.8
2025,Jul,8757293,7831540,925753,555451,2.15,2.35
2025,Aug,8635502,6752269,1883233,1129939,1.66,1.86
2025,Sep,7476737,7317247,159490,95694,1.26,1.46
2025,Oct,8598481,6269666,2328815,1397289,2.35,2.55
2025,Nov,8111744,6661434,1450310,870186,1.43,1.63
2025,Dec,8532006,7124812,1407194,844316,1.87,2.07
2026,Jan,8511484,8212166,299318,179590,2.38,2.58
2026,Feb,9113440,7455265,1658175,994905,2.45,2.65
2026,Mar,10551936,8055384,2496552,1497931,2.21,2.41
2026,Apr,9548050,8582837,965213,579127,2.23,2.43
2026,May,9475418,7488904,1986514,1191908,1.64,1.84
2026,Jun,8694486,7842840,851646,510987,2.1,2.3000000000000003
2026,Jul,8590683,7421658,1169025,701415,1.47,1.67
2026,Aug,8183363,7162385,1020978,612586,1.72,1.92
2026,Sep,8502214,6280673,2221541,1332924,2.4,2.6
2026,Oct,8681083,6932900,1748183,1048909,2.22,2.4200000000000004
2026,Nov,8035659,7125720,909939,545963,2.23,2.43
2026,Dec,92,8027104,-8027012,-4816207,1.63,1.8299999999999998
